filename,correcto
render_0000.png,false
render_0001.png,false
render_0002.png,false
render_0003.png,false
render_0004.png,false
render_0005.png,true
render_0006.png,true
render_0007.png,false
render_0008.png,false
render_0009.png,true
render_0010.png,false
render_0011.png,false
render_0012.png,true
render_0013.png,false
render_0014.png,false
render_0015.png,true
render_0016.png,true
render_0017.png,false
render_0018.png,false
render_0019.png,true
render_0020.png,true
render_0021.png,false
render_0022.png,true
render_0023.png,false
render_0024.png,true
render_0025.png,true
render_0026.png,true
render_0027.png,true
render_0028.png,false
render_0029.png,true
render_0030.png,false
render_0031.png,false
render_0032.png,false
render_0033.png,true
render_0034.png,true
render_0035.png,true
render_0036.png,true
render_0037.png,false
render_0038.png,true
render_0039.png,false
render_0040.png,false
render_0041.png,true
render_0042.png,true
render_0043.png,false
render_0044.png,false
render_0045.png,true
render_0046.png,false
render_0047.png,true
render_0048.png,true
render_0049.png,false
render_0050.png,false
render_0051.png,false
render_0052.png,false
render_0053.png,true
render_0054.png,false
render_0055.png,false
render_0056.png,false
render_0057.png,true
render_0058.png,true
render_0059.png,true
render_0060.png,false
render_0061.png,false
render_0062.png,true
render_0063.png,false
render_0064.png,false
render_0065.png,true
render_0066.png,false
render_0067.png,false
render_0068.png,true
render_0069.png,false
render_0070.png,false
render_0071.png,false
render_0072.png,false
render_0073.png,false
render_0074.png,false
render_0075.png,true
render_0076.png,false
render_0077.png,true
render_0078.png,true
render_0079.png,false
render_0080.png,true
render_0081.png,true
render_0082.png,true
render_0083.png,true
render_0084.png,false
render_0085.png,false
render_0086.png,true
render_0087.png,true
render_0088.png,true
render_0089.png,true
render_0090.png,false
render_0091.png,true
render_0092.png,false
render_0093.png,true
render_0094.png,false
render_0095.png,true
render_0096.png,true
render_0097.png,true
render_0098.png,true
render_0099.png,true
render_0100.png,false
render_0101.png,true
render_0102.png,false
render_0103.png,true
render_0104.png,false
render_0105.png,false
render_0106.png,false
render_0107.png,true
render_0108.png,false
render_0109.png,false
render_0110.png,false
render_0111.png,false
render_0112.png,true
render_0113.png,false
render_0114.png,true
render_0115.png,true
render_0116.png,true
render_0117.png,true
render_0118.png,false
render_0119.png,true
render_0120.png,false
render_0121.png,true
render_0122.png,true
render_0123.png,false
render_0124.png,false
render_0125.png,true
render_0126.png,true
render_0127.png,true
render_0128.png,true
render_0129.png,true
render_0130.png,false
render_0131.png,true
render_0132.png,false
render_0133.png,false
render_0134.png,true
render_0135.png,false
render_0136.png,false
render_0137.png,true
render_0138.png,true
render_0139.png,false
render_0140.png,false
render_0141.png,false
render_0142.png,false
render_0143.png,true
render_0144.png,true
render_0145.png,false
render_0146.png,true
render_0147.png,false
render_0148.png,true
render_0149.png,false
render_0150.png,false
render_0151.png,true
render_0152.png,true
render_0153.png,true
render_0154.png,false
render_0155.png,true
render_0156.png,false
render_0157.png,false
render_0158.png,false
render_0159.png,true
render_0160.png,false
render_0161.png,false
render_0162.png,true
render_0163.png,false
render_0164.png,true
render_0165.png,true
render_0166.png,false
render_0167.png,true
render_0168.png,false
render_0169.png,true
render_0170.png,false
render_0171.png,false
render_0172.png,false
render_0173.png,true
render_0174.png,false
render_0175.png,false
render_0176.png,false
render_0177.png,true
render_0178.png,true
render_0179.png,false
render_0180.png,true
render_0181.png,true
render_0182.png,true
render_0183.png,true
render_0184.png,true
render_0185.png,true
render_0186.png,false
render_0187.png,true
render_0188.png,true
render_0189.png,false
render_0190.png,false
render_0191.png,false
render_0192.png,false
render_0193.png,true
render_0194.png,false
render_0195.png,false
render_0196.png,false
render_0197.png,true
render_0198.png,true
render_0199.png,false
render_0200.png,true
render_0201.png,true
render_0202.png,false
render_0203.png,true
render_0204.png,false
render_0205.png,false
render_0206.png,true
render_0207.png,true
render_0208.png,false
