ruta_imagen,correcto
render_0000.png,true
render_0001.png,false
render_0002.png,true
render_0003.png,false
render_0004.png,true
render_0005.png,false
render_0006.png,false
render_0007.png,false
render_0008.png,false
render_0009.png,true
render_0010.png,true
render_0011.png,false
render_0012.png,false
render_0013.png,false
render_0014.png,true
render_0015.png,true
render_0016.png,false
render_0017.png,false
render_0018.png,false
render_0019.png,false
render_0020.png,true
render_0021.png,false
render_0022.png,false
render_0023.png,false
render_0024.png,false
render_0025.png,false
render_0026.png,false
render_0027.png,true
render_0028.png,false
render_0029.png,false
render_0030.png,false
render_0031.png,false
render_0032.png,false
render_0033.png,false
render_0034.png,false
render_0035.png,false
render_0036.png,false
render_0037.png,false
render_0038.png,false
render_0039.png,false
render_0040.png,true
render_0041.png,true
render_0042.png,false
render_0043.png,true
render_0044.png,false
render_0045.png,true
render_0046.png,false
render_0047.png,true
render_0048.png,true
render_0049.png,true
render_0050.png,false
render_0051.png,true
render_0052.png,true
render_0053.png,false
render_0054.png,false
render_0055.png,true
render_0056.png,false
render_0057.png,true
render_0058.png,false
render_0059.png,false
render_0060.png,false
render_0061.png,false
render_0062.png,false
render_0063.png,false
render_0064.png,true
render_0065.png,false
render_0066.png,true
render_0067.png,false
render_0068.png,false
render_0069.png,false
render_0070.png,false
render_0071.png,false
render_0072.png,true
render_0073.png,true
render_0074.png,false
render_0075.png,false
render_0076.png,false
render_0077.png,false
render_0078.png,false
render_0079.png,false
render_0080.png,false
render_0081.png,false
render_0082.png,true
render_0083.png,false
render_0084.png,true
render_0085.png,true
render_0086.png,false
render_0087.png,false
render_0088.png,true
render_0089.png,true
render_0090.png,false
render_0091.png,false
render_0092.png,false
render_0093.png,false
render_0094.png,false
render_0095.png,false
render_0096.png,false
render_0097.png,false
render_0098.png,false
render_0099.png,false
render_0100.png,false
render_0101.png,false
render_0102.png,true
render_0103.png,false
render_0104.png,false
render_0105.png,false
render_0106.png,false
render_0107.png,false
render_0108.png,true
render_0109.png,true
render_0110.png,true
render_0111.png,false
render_0112.png,true
